nev;leiras;datum;megjelenites;gyakorisag
Normal;Ez volt a korai epizódok fő vécétípusa, a legtöbb vécé ezt használta. Azonban ennek a vécétípusnak számos méretváltozata volt, a vécé méretétől függően. Ez egy alapvető vécé, és nem tartalmaz túl fejlett technológiát.;2023.01.15;A;gyakori
Camera;Ez a vécétípus hasonlít az 'A' típusra, de hiányzik belőle a vécétető. Gyakran kíséri Glitch Skibidi Toilet, Camera Toilet, Bladewielder Strider Skibidi Toilet, Triple Skibidi Toilet és Humans. Az A típushoz hasonlóan ez is egy alapvető vécétípus minimális technológiával.;2023.02.01;B;ritka
Strider;Ez a típus csak a Strider Skibidi Toilet, a Skull Dismantler Skibidi Toilet és a Laser Crusher Skibidi Toilethez tartozik. Úgy tűnik, nincs WC-tartálya, ami azt jelenti, hogy nem öblíthető le, mivel az öblítő általában a tartályon található. A WC-nek szabványos törzse van, ami kissé rozsdásnak tűnik. Alul egy hosszú henger található négyzet alakú csatlakozóval, amely valószínűleg egy torony vagy ágyú tartására szolgál.;2023.03.10;C;ritka
Artillerist;Ez a típus csak az Artillerist Skibidi Toilet, a Jetpack Dual Buzzsaw Skibidi Toilet, az Giant Hexa-Tendril Skibidi Toilet, az Giant Dual Blade Skibidi Toilet, a Flamethrower Skibidi Toilet, a Ravager Skibidi Toilet és a Duchess Astro Toilet kíséri. Ezeknél a vécéknél nincsenek tartályok, így a hozzájuk tartozó Skibidi Toiletekben gyakran elektromos dobozok vannak tartályok helyett. A vécé törzse szürke, és védelmet nyújt a televízió sugarai ellen. Alul egy normál vécére hasonlít, szürke vécécsészével.;2023.04.05;D;ritka
Mutant;Ez a típus csak a Skibidi mutánsok számára készült, és kifejezetten a Skibidi mutánsok számára tervezték. Ezeknek a vécéknek nincs tartályuk, és egy hosszú, felfelé nyúló csővel rendelkeznek. Szabványos vécé pereme van, de amikor eléri a Skibidi mutáns derekát, a vécé úgy van kialakítva, hogy a Skibidi mutáns kilóghasson a lába.;2023.05.20;E;gyakori
Claw Car;Ehhez a típushoz tartozik a Karmos Autó Skibidi Toalett, a Robbanó Hordós Skibidi Toalett, a Savas Hordós Skibidi Toalett, a Koponyás Skibidi Toalett, a Négyvetőes Vándor Skibidi Toalett, a Penta Vándor Skibidi Toalett és a Tüzérségi Vándor Skibidi Toalett. Kinézetre hasonlít egy normál toalettre, de szürke és rozsdás színű. Alul kissé keskenyedik, hogy elférjen a Karmos Autó Skibidi Toalett kereke.;2023.06.15;F;ritka
Quad-Laser;Ehhez a típushoz tartozik a Négylézeres Skibidi Toilet, a SWAT Mutáns Skibidi Toilet, a Pajzsos Rakétás Skibidi Toilet, a Kis Mutáns Skibidi Toilet, a Hulladék Mutáns Skibidi Toilet, a Lézer Drifter Skibidi Toilet és a legtöbb Asztro Toilet. Ez a toalett szürke színű, és a J típushoz hasonló a kialakítása, a tartálya pedig a D típuséhoz hasonlít.;2023.07.30;G;legendas
G-Man;Ezt a típust a G-Toilet, az Óriás Repülő Skibidi Toilet, a Főtudós Mech és egy arany Toilet szobor kíséri. Ez a Toilet típus egy alapváltozat, hasonló az A típushoz, de titáni méretben. Bár nem sok technológia van beépítve ebbe a Toilet típusba, a G-Toilet által használt Toiletről kimutatták, hogy nem lehet leöblíteni.;2023.08.25;H;egyszeri
Parasitic;Ezt a típust a Parazita Skibidi Toalettekkel együtt forgalmazzák. Kis méretű, tartály nélküli toalett, elektromos dobozzal és hozzá csatlakoztatott csővel. A toalettnek nincs alja; csak a toalett-csészéből áll, a toalett feje mögött pedig további alkatrészek találhatók az elektromos doboz megtartására.;2023.09.10;I;gyakori
Egg;Ezt a típust az Egg Skibidi Toilet, az Astro G-Toilet és az Alpha-Hills Labs-ban található monumentumok egészítik ki. Ennél a toaletttípusnál nincs tartály, és egy ívelt, téglalap alakú toalett-csésze található rajta hosszú, téglalap alakú talppal.;2023.10.05;J;legendas
Fast Armored;Ez a típus csak a Gyors Páncélozott Skibidi Toilethez tartozik. Jellemzője egy nagy elülső rész egy dudorral és egy WC-kagylóval, amely a Gyors Páncélozott Skibidi Toilet fejét alkotja. Ezenkívül egy téglalap alakú alappal is rendelkezik, amely a szerkezetet tartja, hat rakétával, amelyek a WC-kagylóhoz vannak rögzítve, és segítik a Gyors Páncélozott Skibidi Toilet mozgását.;2023.11.20;K;ritka
