nev;leiras;datum;megjelenites;mix;veszelyesseg
Tralalero Tralala;Un squalo atletico con tre gambe e scarpe Nike blu, capace di correre a velocità sovrumane e saltare lunghe distanze;2025.01.15;;squalo-scarpe;8
Bombardiro Crocodilo;Un ibrido tra un coccodrillo e un bombardiere della Seconda Guerra Mondiale, con la testa di un coccodrillo e il corpo di un aereo militare;2024.12.20;;coccodrillo-aereo;10
Tung Tung Tung Tung Tung Tung Tung Tung Tung Sahur;Un oggetto di legno antropomorfo che assomiglia a una mazza indiana o un tamburo bedug con una mazza da baseball;2025.02.10;;tamburo-mazza;4
Lirilì Larilà;Un ibrido cactus-elefante bipede che indossa sandali, con una lunga proboscide spinosa;2025.03.05;;cactus-elefante;6
Boneca Ambalabu;Una bambola di pezza vivente con tentacoli di polpo e un cappello a forma di fungo;2025.01.25;;bambola-polpo;3
Brr Brr Patapim;Una scimmia nasica con enormi piedi umani e un cappello da chef;2024.11.15;;scimmia-piedi;2
Chimpanzini Bananini;Uno scimpanzé fatto interamente di banane con occhiali da sole;2025.04.20;;scimpanze-banana;1
Bombombini Gusini;Un pinguino con missili al posto delle ali e un casco da aviatore;2025.02.28;;pinguino-missile;9
Capuccino Assassino;Una tazza di cappuccino con braccia da ninja e shuriken fatti di chicchi di caffè;2024.12.05;;caffe-ninja;7
Trippi Troppi;Un ippopotamo psichedelico con ali di farfalla arcobaleno;2025.05.15;;ippopotamo-farfalla;5
Frigo Camelo;Un cammello fatto di elettrodomestici con un frigorifero come gobba;2025.03.20;;cammello-frigo;3
La Vaca Saturno Saturnita;Una mucca spaziale con gli anelli di Saturno intorno alla pancia;2025.01.30;;mucca-saturno;4
Ballerina Cappucina;Una ballerina con una tazza di cappuccino al posto della testa che indossa un tutù;2025.04.10;;ballerina-caffe;2
U Din Din Din Din Dun Ma Din Din Din Dun;Un dinosauro musicale che suona una batteria fatta di frutta;2024.11.25;;dino-musica;3
Trulimero Trulicina;Una tartaruga con guscio di cristallo e zampe di ballerina;2025.05.25;;tartaruga-ballerina;1
Girafa Celeste;Una giraffa con il collo fatto di nuvole e stelle;2025.02.15;;giraffa-cielo;2
Bobrito Bandito;Un castoro bandito con sombrero e poncho fatto di legno;2024.12.10;;castoro-bandito;4
Ta Ta Ta Ta Ta Ta Ta Ta Ta Ta Ta Sahur;Un tamburo guerriero con braccia di spada laser;2025.03.15;;tamburo-spada;8
